,Title,Category,Keywords
24,Biden’s resistance to cease-fire could alienate youth voters in 2024,1,biden alienate young resistance michigan youth voters bidens vote war students ceasefire 2024
25,Avocados have destroyed my country — and It’s the United States’ fault - The Washington Post,1,uruapan mexican united washington states post opinion michoacán avocados country germany trade avocado fault destroyed
26,Need holiday conversation starters? Sign up for ‘Need an Opinion’ - The Washington Post,1,conversation talk impress running thanksgiving meeting sign holiday inlaws washington post office need starters opinion table stuck
27,At the heart of gag order case: Can free speech and a fair trial of Donald Trump co-exist? - The Washington Post,1,staff gag speech court case free trumps judge washington post order trial judges trump heart fair
28,Read Jennifer Rubin's live chat - The Washington Post,1,questions readers read rubins nov rubin online week washington post live transcript shell jennifer chat
29,Republicans rally to Elon Musk after self-inflicted antisemitism mess - The Washington Post,1,republicans white musks antisemitism rally carusone elon media washington post matters mess juxtapositions worldview x content selfinflicted musk
30,GOP primary candidates need to get serious as Democrats move left - The Washington Post,1,hard party democrats primary israel left gop serious hamas washington post gaza republican need war democratic candidates
31,Young Americans aren’t marrying. Politics helps explain why. - The Washington Post,1,ideological marriage arent marrying men young z gen explain washington post political women americans politics helps polarization
32,"60 years later, a Secret Service agent grapples with JFK assassination",1,service agent landis presidents later assassination president parkland head lady bullet trauma 60 room grapples secret kennedy jfk
33,"How the world reacted to news of JFK’s death, from Biden to Khrushchev",1,biden president kennedys radio dead reacted cold world khrushchev death war man jfks kennedy
34,"Two days after JFK’s assassination, the NFL played on",1,rozelle decision game president games days played nfl football wrote jfks assassination redskins weekend
35,"As Democrats push to ban caste discrimination, some Indian Americans object",1,caste push state democrats american newsom ban indian kapur object bill california discrimination democratic americans
36,U.S. Park Police officer shot in downtown D.C.,1,man park district streets wounded shot apartment homicides shooting officer dc downtown
37,"The NFL’s brief, forgotten experiment with Thanksgiving in St. Louis",1,coryell game dallas thanksgiving team cowboys nfls cardinals forgotten louis experiment brief season st
38,"In a season when so much is new, Commanders default to same old struggles",1,games teams default team washingtons play commanders washington focus win know old season struggles
39,The Detroit Lions are finally a force as Thanksgiving arrives,1,force arrives finally seed teams super thanksgiving team nfc detroit schatz wins season lions
40,"‘Saltburn’ seduces with every frame, but leaves you wanting more",1,oliver saltburn felixs frame felix leaves films fennells wanting oxford hes seduces good fennell
41,The Madstone by Elizabeth Crook book review,1,book long young elizabeth madstone review crook hes tot nell benjamin texas things shes
42,Napoleon who? Ridley Scott biopic leaves a void at its center.,1,working napoleon center french david leaves bonaparte comes biopic scott leader staroutline josephine ridley void
43,Episode 6: ‘I know what I saw’,1,told ago saw remains washington post school witness witnessed know exhumation calivigny episode
44,The Empty Grave of Comrade Bishop,1,powers whereabouts grave bishop seven remains unknown role shaping comrade washington revolutionary series
45,‘The Empty Grave of Comrade Bishop’: Podcast episode guide,1,bodies told grave podcast bishop remains guide comrade grenada know calivigny bishops episode
46,Read Perry Bacon Jr.'s live chat - The Washington Post,1,questions perry readers read bacon submit week jrs washington post live start question politics chat page
47,"Election 2024: The Post’s Political Roundtable with Ashley Parker, Brianna Tucker and Marianne LeVine",1,campaign president tucker sullivan roundtable election brianna political speaker sean tries parker whats posts levine marianne trail trump ashley
48,Republican Maloy wins special House election for Utah’s 2nd District,1,according house district stewart wifes election special 2nd republican utahs wrote maloy wins
49,Utah 2nd District special election results 2023 live updates,1,state district swath 2023 wifes election special utah stepped updates results 2nd live republican whip utahs stewart
50,GOP official’s wife convicted in months-long 2020 voter-fraud scheme,1,according scheme voterfraud wife jeremy monthslong gop county ballots voter iowa kim phuong convicted 2020 taylor officials
51,Democrats accuse X of profiting off misinformation in Israel-Gaza war,1,profiting propaganda terrorist lawmakers democrats letter hamas company media matters misinformation war x accuse israelgaza content
52,The far right toppled McCarthy over spending. What has it gotten them?,1,republicans house pass votes speaker senate gop far johnson spending cuts toppled gotten mccarthy right
53,How the surge in migration to the U.S. might affect 2024,1,migration hispanics population immigration increase counties voters surge affect 2020 border right 2024 hispanic
54,"Iowa evangelical leader Bob Vander Plaats endorses DeSantis, knocks Trump",1,evangelical bob vander knocks plaats desantis gop trumps endorsement iowa leader trump leaders plaatss endorses
55,Many now see Haley as Trump’s top GOP challenger. She faces hurdles ahead.,1,campaign hampshire state challenger haley desantis gop christie faces trumps iowa voters hurdles ahead trump support
56,Dean Phillips supporters launch ads attacking Biden’s electability,1,campaign winning biden president presidential hampshire phillips electability ads launch supporters attacking dean kennedy bidens trump spots
57,Georgia judge orders new bond agreement for Trump co-defendant Harrison Floyd,1,case willis codefendant agreement harrison georgia bond election judge social media trumps floyd trump floyds orders fulton
58,Colorado judge who ruled Trump incited Jan. 6 is latest to blame him,1,blame district president certification judge trumps ruled colorado incited violence capitol trump jan latest
59,I have too many friends. I can’t keep up! Carolyn Hax readers advise.,1,readers advise say touch husband group hax butterflied start social week carolyn thats cant friends
60,Ask Amy: I have a distant relationship with my ‘self-indulgent’ mom,1,marriage ask distant way mother behavior stop im mom parents little help amy relationship selfindulgent
61,Miss Manners: My friend’s husband told me I wear too much makeup,1,told husband makeup sure miss manners b taking send host wear scenario dont response friends
62,"I have chronic fatigue syndrome, and my young daughter is exhausting",1,family cfs syndrome young fatigue child fun daughter chronic morning work win exhausting begin meetings battles
63,Ask Elaine: He worries dealing with trauma will hurt our relationship,1,elaine ask partner trauma worries love needs dealing work therapist help relationship boyfriend hurt healing
64,6 tips for a healthy Thanksgiving: The week in Well+Being,1,read wellbeing thanksgiving going feel week healthy tips kale morning joy turkey workout thanks
65,Lead poisoning from fruit pouches affects more kids. Here’s what to know.,1,heres lead poisoning fruit children puree levels cinnamon eating affects know pouches kids food
66,What a mystery illness in dogs could mean for holiday pet care,1,oregon illness care dog cavanagh holiday mean day disease dont mystery respiratory dogs pet veterinary
67,Why are periods so hush-hush? A film takes on the stigma of menstruation.,1,hushhush cycle takes film thing stigma period world women menstruation tampon month periods talking
68,Why does kale upset my stomach?,1,fiber high does stomach upset insoluble rfos thyroid k kale eating soluble
69,"AI can’t write my books yet, but it still took my author photos",1,books ive images actors face author books3 photos ai write writers thats doing cant used took
70,"New works of fantasy by Kij Johnson, Gene Wolfe and Terry Pratchett",1,works novella fiction fantasy gene pratchett named johnson vellitt world toad johnsons wolfe terry written kij
71,Book review: ‘The Death of a Jaybird’ by Jodi M. Savage,1,savage book writing jaybird review m grandmother essays mothers jodi life death black relationship grandmothers grief
72,The Book of Ayn by Lexi Freiman book review,1,paradox book group lexi canceled review friend younger freiman ayn joke rand anna shes
73,Fiction writers are learning the tricks of true crime,1,crime tricks fiction novel michael truecrime ola podcast true women learning writers josie list
74,These baby turtle eggs were going to be ‘bar snacks.’ Watch the hatchlings return to the sea.,1,watch hatchlings baby sea poachers snacks going return coast costa punta turtle bar eggs ricas turtles local
75,The fridge hack that can slash your food waste,1,perishable slash zhao waste fruits eat fridge items vegetables refrigerator hack food
76,"The many contrasts of oil-rich UAE, host of the global climate talks",1,emissions contrasts adnoc talks oilrich host company climate city energy fossil oil carbon uae global
77,"Oil spill tops 1 million gallons, threatens Gulf of Mexico wildlife",1,taylor wildlife gallons pass coast spill million gulf threatens tops main oil guard pipeline mexico
78,States must target transportation carbon emission cuts under new federal rule,1,transportation rule state emissions highway administration set states cuts emission federal target infrastructure carbon
79,"Thanksgiving snowstorm to blanket Rockies, including Denver",1,west snowstorm wyoming thanksgiving denver plains western snow including rockies blanket inches totals colorado storm
80,Soaking Mid-Atlantic storm brings drought relief,1,region rain soaking drought precipitation midatlantic rainfall brings inches tuesdays totals day average storm relief fell
81,A city-by-city look at where weather could delay Thanksgiving travel,1,night rain look thanksgiving weather highs citybycity travel snow inches storm showers delay
82,"Why it’s so hot in Brazil, where a Taylor Swift concertgoer died",1,rio taylor swift brazil hot climate temperatures died heat dew humidity high degrees concertgoer
83,Americans turn to faxes to reach elected officials about the war,1,officials past turn elected send offices number site week calls reach war fax americans ceasefire faxes
84,Five technology products we regret buying,1,products headphones product wireless bought technology tech buying regret help colleague pet coffee using
85,Do you talk more like a millennial or a boomer at work? Take this quiz to find out.,1,text talk boomer youre send millennial continues quiz work advertisement day colleague message project
86,Elon Musk says SpaceX will soon be ready for third flight of Starship,1,ready commercial soon faa spacex spacecraft elon starship booster rocket months flight space musk
87,"Decades before OpenAI ousted Sam Altman, Apple left Steve Jobs behind",1,apples told power left sam company executive board ousted openai jobs apple wrote steve altman decades sculley
88,"Louisville bank shooter killed 5 people to highlight gun laws, police report shows",1,bank easy shooting rifle sturgeon highlight report laws victims shooter violence shows wrote killed louisville gun politicians
89,Loosening restrictions on marijuana may not be boon for reform,1,boon marijuana loosening restrictions cannabis drugs research drug substance reform federal rescheduling schedule
90,A couple and their dog were weeks into a sailing trip. Then the engine died.,1,trip husband told water helicopter dog engine coast sailing bandit vessel cook weeks died couple guard peer
91,Four inmates escaped from a Georgia jail. A 33-day manhunt ensued.,1,ensued manhunt escaped later enforcement investigators davis escape oct jail inmates williams 33day georgia went
92,"Holly Maguigan, who gave battered women a defense in court, dies at 78",1,husband court law lawyer maguigan gave lawyers victims defense domesticviolence dies women battered 78 ms holly violence
93,A growing global footprint for China’s space program worries Pentagon,1,global bolivia china ground countrys worries satellites chinese chinas pentagon program footprint satellite military space growing stations
94,Napoleon complex? The ‘little corporal’ was actually taller than average.,1,soldiers napoleon french corporal broers height bonaparte little average taller complex actually english gillray
95,North Korea says it launched a spy satellite: 5 things to know,1,koreas stages second reconnaissance korea north satellites spy launched rocket satellite know things stage
96,"Facing pressure in India, Netflix and Amazon back down on daring films",1,india pressure kashyap bjp hindu amazon daring films prime facing indian video streaming netflix political
97,Woman reunited with pet bird after paperwork glitch stranded it at airport,1,glitch airport force official charlie required stranded permits paperwork adlard reunited border pet woman bird thought
98,Each generation has its definitive movies. These are some of mine.,1,generational definitive gen films life women touchstones day age generation movies movie
99,Will ProPublica cross a picket line by publishing its next big scoop?,1,engelberg management propublica line machines union staffers publishing postgazette big newsrooms series labor scoop picket cross
100,Federal judges overturn Maryland handgun licensing law,1,overturn handgun law maryland court state laws ruling bruen judges federal gun licensing supreme
101,What’s open and closed for Thanksgiving across the D.C. region,1,region whats parking restrictions closed open thanksgiving transit closings schedules observance dc
102,An innovative program allows doctors to prescribe fruit and veggies,1,innovative doctors patients produce rx allows fruits fruit health medical program diabetes bread prescribe veggies food
103,PM Update: Cooler and still breezy through Thanksgiving,1,continue today thanksgiving weather update comment breezy northwest day cooler forecast breezes
104,The 36 best things to do in D.C. this weekend and next week,1,free best stouts 36 noon dec holiday week children music including lighting event things dc weekend
105,"The Capitals’ core is old, but kids are powering their hot streak",1,capitals players star young streak knew things play hot core powering caps old kids carbery think
106,The Capitals are surging. Just don’t look at their power play.,1,look capitals net zone power youre puck surging powerplay start need dont play
107,"Ben Olsen shook up a ‘nice, comfortable life’ in D.C. He’s glad he did.",1,comfortable ben coach dynamo nice olsen shook hes life glad washington regular houston good really dc season
108,Fact Checker,1,warranted eyewitness doubt caution checker hamas israeli reports fact pointed official initial
109,Biden yet again says Hamas beheaded babies. Has new evidence emerged?,1,soldiers biden emerged babies civilians beheaded beheadings hamas oct children israeli evidence
110,How to argue about politics this Thanksgiving,1,biden president father thanksgiving hunter hes washington republican voters argue trump politics business
111,Trump's poll image numbers have improved. But can it last?,1,numbers president recent improved presidency rating trumps approval poll image trump americans higher
112,How Democrats have soured on Israel,1,biden israel democrats israels strongly week poll showed month response soured
113,Polls show New Hampshire could decide Haley's chances against Trump,1,hampshire say haleys biden primary haley polls trumps poll voters trump decide chances
114,Democratic congresswoman Anna Eshoo won’t seek reelection in 2024,1,told congresswoman house district seek bills reelection companies anna eshoo california congress capitol democratic bill wont 2024
115,Polls show views souring on immigration and Democrats' handling of it,1,state polling souring immigration democrats handling poll york wall issue polls border views showed
116,A boom of ballot initiatives is reshaping this state’s democracy,1,state democracy leave care reshaping edmisten states bill nebraska voters sick paid initiatives boom ballot
117,Elon Musk provides yet another platform for far-right attacks,1,speech ads platform elon provides media matters extremist x rightwing farright attacks hogan content musk
118,White House joins the social media platform Threads,1,white joins threads house report platform social media x official comments musk
119,Here are the facts to prepare you for your Thanksgiving arguments,1,santos facts arguments prepare biden president charges thanksgiving thomas trial term federal trump committee
120,Dreams dying in a Texas city where immigrants fought for an education,1,high dreams court tyler children daca immigrants school city education dying leyva program parents undocumented texas fought
121,Appeals court decision could limit enforcement of Voting Rights Act,1,decision enforcement court appeals ruling circuit limit rights private act 8th voting supreme
122,Hispanic conservatives defend Univision amid backlash over Trump interview,1,amid defend senior backlash letter univision trumps network interview post trump conservatives univisions hispanic
123,Tracking the Trump investigations and where they stand,1,pleaded case tracking read election indicted stand continues conspiring trumps investigations advertisement trump
124,Appeals court suggests it may pare back Trump’s D.C. gag order,1,gag speech court case president appeals pare trumps order judges suggests trump witnesses dc
130,"Israel-Gaza war live updates Israel and Hamas agree to hostage release deal, 4-day pause in fighting",2,conflict history additional israel israels hamas fighting updates israeli gaza live release attack war hospital hostage israelgaza pause
134,"After Israel-Hamas deal, the agonizing wait for the release of captives",2,deal israelhamas captives according agonizing israel hostages hamas israeli gaza release war wait pause
135,"Inside the hard, circuitous route to a hostage release deal",2,deal hard route biden qatar israel hostages hamas gaza circuitous israeli release official hostage inside pause
136,Here’s what’s in the Israel-Hamas deal to pause fighting in Gaza,2,heres whats israelhamas deal conflict history additional israels hamas fighting gaza israeli attack hospital israelgaza pause
137,Altman’s polarizing past hints at OpenAI board’s reason for firing him,2,reason ceo past polarizing firing boards valley board company silicon altmans ai openai altman hints person
138,Sam Altman reinstated as OpenAI CEO with new board members,2,reinstated ceo members return sam board company ai openai openais altman chief summers
139,"Live updates Two people dead after car crashed, exploded on Rainbow Bridge, officials say",2,say wgrz crashed dead explosion vehicle exploded car investigation updates united live injured bridge rainbow border officials went
142,"Q&A: Ask The Post’s Aaron Hutcherson, Becky Krystal and more about Thanksgiving cooking",2,ask thanksgiving posts newsletter recipe comment wilson krystal hutcherson aaron post qa help cooking write recipes becky food
143,"Brine it, bag it, fry it, smoke it: A century of Thanksgiving turkeys",2,whats smoke fry theyve century thanksgiving bag course long brine reader quick turkey recipes recipe turkeys
144,The unexpected benefit of choosing a smaller portion at Thanksgiving,2,unexpected smaller plan leftovers throw choosing thanksgiving waste eat constantino portion plate turkey benefit food
145,"Single, no kids? Here’s who can handle your estate plans.",2,heres trust estate best plans children daughter attorney money handle need dont kids pet single
146,Nobody wanted Elvis the dog. Then a former Elvis impersonator saw him.,2,elvis dog saw left wanted shelter agron day post pup impersonator waiting adopted wilhelm
147,The newest TV shows and movies to stream right now,2,newest teen polaropposite stream tv walter princeton york series shows jackie brothers tries movies right rural
148,Why is Jon Hamm everyone everywhere all at once this year?,2,hamm character plays don american style draper hes little jon guy
149,"Promised pause in Gaza fighting brings relief, exhaustion, fear",2,days north fear fighting promised children provide gaza exhaustion brings israeli wounded hospital relief pause
150,How to be a financially savvy holiday shopper,2,shopper gifts savvy text financially youre sign holiday washington retail michelle season wont
151,"Forget Black Friday. Secondhand gifts are easier on the wallet, mind.",2,gifts buy wallet shopping easier best forget online secondhand change items clothes black used mind
152,Flaubert’s letters are as hilarious and humane as his best fiction,2,writing humane fiction flauberts god best friend hilarious style life wrote flaubert letters
153,Axl Rose accused of sexual assault in former model’s lawsuit,2,assault lawsuit models axl roses used rose york sexual room claims kennedy accused
154,Biden’s resistance to cease-fire could alienate youth voters in 2024,2,biden alienate young resistance michigan youth voters bidens vote war students ceasefire 2024
155,Avocados have destroyed my country — and It’s the United States’ fault - The Washington Post,2,uruapan mexican united washington states post opinion michoacán avocados country germany trade avocado fault destroyed
156,Need holiday conversation starters? Sign up for ‘Need an Opinion’ - The Washington Post,2,conversation talk impress running thanksgiving meeting sign holiday inlaws washington post office need starters opinion table stuck
157,At the heart of gag order case: Can free speech and a fair trial of Donald Trump co-exist? - The Washington Post,2,staff gag speech court case free trumps judge washington post order trial judges trump heart fair
158,Read Jennifer Rubin's live chat - The Washington Post,2,questions readers read rubins nov rubin online week washington post live transcript shell jennifer chat
159,Republicans rally to Elon Musk after self-inflicted antisemitism mess - The Washington Post,2,republicans white musks antisemitism rally carusone elon media washington post matters mess juxtapositions worldview x content selfinflicted musk
160,GOP primary candidates need to get serious as Democrats move left - The Washington Post,2,hard party democrats primary israel left gop serious hamas washington post gaza republican need war democratic candidates
161,Young Americans aren’t marrying. Politics helps explain why. - The Washington Post,2,ideological marriage arent marrying men young z gen explain washington post political women americans politics helps polarization
162,"60 years later, a Secret Service agent grapples with JFK assassination",2,service agent landis presidents later assassination president parkland head lady bullet trauma 60 room grapples secret kennedy jfk
163,"How the world reacted to news of JFK’s death, from Biden to Khrushchev",2,biden president kennedys radio dead reacted cold world khrushchev death war man jfks kennedy
164,"Two days after JFK’s assassination, the NFL played on",2,rozelle decision game president games days played nfl football wrote jfks assassination redskins weekend
165,"As Democrats push to ban caste discrimination, some Indian Americans object",2,caste push state democrats american newsom ban indian kapur object bill california discrimination democratic americans
166,U.S. Park Police officer shot in downtown D.C.,2,man park district streets wounded shot apartment homicides shooting officer dc downtown
167,"The NFL’s brief, forgotten experiment with Thanksgiving in St. Louis",2,coryell game dallas thanksgiving team cowboys nfls cardinals forgotten louis experiment brief season st
168,"In a season when so much is new, Commanders default to same old struggles",2,games teams default team washingtons play commanders washington focus win know old season struggles
169,The Detroit Lions are finally a force as Thanksgiving arrives,2,force arrives finally seed teams super thanksgiving team nfc detroit schatz wins season lions
170,"‘Saltburn’ seduces with every frame, but leaves you wanting more",2,oliver saltburn felixs frame felix leaves films fennells wanting oxford hes seduces good fennell
171,The Madstone by Elizabeth Crook book review,2,book long young elizabeth madstone review crook hes tot nell benjamin texas things shes
172,Napoleon who? Ridley Scott biopic leaves a void at its center.,2,working napoleon center french david leaves bonaparte comes biopic scott leader staroutline josephine ridley void
173,Episode 6: ‘I know what I saw’,2,told ago saw remains washington post school witness witnessed know exhumation calivigny episode
174,The Empty Grave of Comrade Bishop,2,powers whereabouts grave bishop seven remains unknown role shaping comrade washington revolutionary series
175,‘The Empty Grave of Comrade Bishop’: Podcast episode guide,2,bodies told grave podcast bishop remains guide comrade grenada know calivigny bishops episode
176,Read Perry Bacon Jr.'s live chat - The Washington Post,2,questions perry readers read bacon submit week jrs washington post live start question politics chat page
177,"Election 2024: The Post’s Political Roundtable with Ashley Parker, Brianna Tucker and Marianne LeVine",2,campaign president tucker sullivan roundtable election brianna political speaker sean tries parker whats posts levine marianne trail trump ashley
178,Republican Maloy wins special House election for Utah’s 2nd District,2,according house district stewart wifes election special 2nd republican utahs wrote maloy wins
179,Utah 2nd District special election results 2023 live updates,2,state district swath 2023 wifes election special utah stepped updates results 2nd live republican whip utahs stewart
180,GOP official’s wife convicted in months-long 2020 voter-fraud scheme,2,according scheme voterfraud wife jeremy monthslong gop county ballots voter iowa kim phuong convicted 2020 taylor officials
181,Democrats accuse X of profiting off misinformation in Israel-Gaza war,2,profiting propaganda terrorist lawmakers democrats letter hamas company media matters misinformation war x accuse israelgaza content
182,The far right toppled McCarthy over spending. What has it gotten them?,2,republicans house pass votes speaker senate gop far johnson spending cuts toppled gotten mccarthy right
183,How the surge in migration to the U.S. might affect 2024,2,migration hispanics population immigration increase counties voters surge affect 2020 border right 2024 hispanic
184,"Iowa evangelical leader Bob Vander Plaats endorses DeSantis, knocks Trump",2,evangelical bob vander knocks plaats desantis gop trumps endorsement iowa leader trump leaders plaatss endorses
185,Many now see Haley as Trump’s top GOP challenger. She faces hurdles ahead.,2,campaign hampshire state challenger haley desantis gop christie faces trumps iowa voters hurdles ahead trump support
186,Dean Phillips supporters launch ads attacking Biden’s electability,2,campaign winning biden president presidential hampshire phillips electability ads launch supporters attacking dean kennedy bidens trump spots
187,Georgia judge orders new bond agreement for Trump co-defendant Harrison Floyd,2,case willis codefendant agreement harrison georgia bond election judge social media trumps floyd trump floyds orders fulton
188,Colorado judge who ruled Trump incited Jan. 6 is latest to blame him,2,blame district president certification judge trumps ruled colorado incited violence capitol trump jan latest
189,I have too many friends. I can’t keep up! Carolyn Hax readers advise.,2,readers advise say touch husband group hax butterflied start social week carolyn thats cant friends
190,Ask Amy: I have a distant relationship with my ‘self-indulgent’ mom,2,marriage ask distant way mother behavior stop im mom parents little help amy relationship selfindulgent
191,Miss Manners: My friend’s husband told me I wear too much makeup,2,told husband makeup sure miss manners b taking send host wear scenario dont response friends
192,"I have chronic fatigue syndrome, and my young daughter is exhausting",2,family cfs syndrome young fatigue child fun daughter chronic morning work win exhausting begin meetings battles
193,Ask Elaine: He worries dealing with trauma will hurt our relationship,2,elaine ask partner trauma worries love needs dealing work therapist help relationship boyfriend hurt healing
194,6 tips for a healthy Thanksgiving: The week in Well+Being,2,read wellbeing thanksgiving going feel week healthy tips kale morning joy turkey workout thanks
195,Lead poisoning from fruit pouches affects more kids. Here’s what to know.,2,heres lead poisoning fruit children puree levels cinnamon eating affects know pouches kids food
196,What a mystery illness in dogs could mean for holiday pet care,2,oregon illness care dog cavanagh holiday mean day disease dont mystery respiratory dogs pet veterinary
197,Why are periods so hush-hush? A film takes on the stigma of menstruation.,2,hushhush cycle takes film thing stigma period world women menstruation tampon month periods talking
198,Why does kale upset my stomach?,2,fiber high does stomach upset insoluble rfos thyroid k kale eating soluble
199,"AI can’t write my books yet, but it still took my author photos",2,books ive images actors face author books3 photos ai write writers thats doing cant used took
200,"New works of fantasy by Kij Johnson, Gene Wolfe and Terry Pratchett",2,works novella fiction fantasy gene pratchett named johnson vellitt world toad johnsons wolfe terry written kij
201,Book review: ‘The Death of a Jaybird’ by Jodi M. Savage,2,savage book writing jaybird review m grandmother essays mothers jodi life death black relationship grandmothers grief
202,The Book of Ayn by Lexi Freiman book review,2,paradox book group lexi canceled review friend younger freiman ayn joke rand anna shes
203,Fiction writers are learning the tricks of true crime,2,crime tricks fiction novel michael truecrime ola podcast true women learning writers josie list
204,These baby turtle eggs were going to be ‘bar snacks.’ Watch the hatchlings return to the sea.,2,watch hatchlings baby sea poachers snacks going return coast costa punta turtle bar eggs ricas turtles local
205,The fridge hack that can slash your food waste,2,perishable slash zhao waste fruits eat fridge items vegetables refrigerator hack food
206,"The many contrasts of oil-rich UAE, host of the global climate talks",2,emissions contrasts adnoc talks oilrich host company climate city energy fossil oil carbon uae global
207,"Oil spill tops 1 million gallons, threatens Gulf of Mexico wildlife",2,taylor wildlife gallons pass coast spill million gulf threatens tops main oil guard pipeline mexico
208,States must target transportation carbon emission cuts under new federal rule,2,transportation rule state emissions highway administration set states cuts emission federal target infrastructure carbon
209,"Thanksgiving snowstorm to blanket Rockies, including Denver",2,west snowstorm wyoming thanksgiving denver plains western snow including rockies blanket inches totals colorado storm
210,Soaking Mid-Atlantic storm brings drought relief,2,region rain soaking drought precipitation midatlantic rainfall brings inches tuesdays totals day average storm relief fell
211,A city-by-city look at where weather could delay Thanksgiving travel,2,night rain look thanksgiving weather highs citybycity travel snow inches storm showers delay
212,"Why it’s so hot in Brazil, where a Taylor Swift concertgoer died",2,rio taylor swift brazil hot climate temperatures died heat dew humidity high degrees concertgoer
213,Americans turn to faxes to reach elected officials about the war,2,officials past turn elected send offices number site week calls reach war fax americans ceasefire faxes
214,Five technology products we regret buying,2,products headphones product wireless bought technology tech buying regret help colleague pet coffee using
215,Do you talk more like a millennial or a boomer at work? Take this quiz to find out.,2,text talk boomer youre send millennial continues quiz work advertisement day colleague message project
216,Elon Musk says SpaceX will soon be ready for third flight of Starship,2,ready commercial soon faa spacex spacecraft elon starship booster rocket months flight space musk
217,"Decades before OpenAI ousted Sam Altman, Apple left Steve Jobs behind",2,apples told power left sam company executive board ousted openai jobs apple wrote steve altman decades sculley
218,"Louisville bank shooter killed 5 people to highlight gun laws, police report shows",2,bank easy shooting rifle sturgeon highlight report laws victims shooter violence shows wrote killed louisville gun politicians
219,Loosening restrictions on marijuana may not be boon for reform,2,boon marijuana loosening restrictions cannabis drugs research drug substance reform federal rescheduling schedule
220,A couple and their dog were weeks into a sailing trip. Then the engine died.,2,trip husband told water helicopter dog engine coast sailing bandit vessel cook weeks died couple guard peer
221,Four inmates escaped from a Georgia jail. A 33-day manhunt ensued.,2,ensued manhunt escaped later enforcement investigators davis escape oct jail inmates williams 33day georgia went
222,"Holly Maguigan, who gave battered women a defense in court, dies at 78",2,husband court law lawyer maguigan gave lawyers victims defense domesticviolence dies women battered 78 ms holly violence
223,A growing global footprint for China’s space program worries Pentagon,2,global bolivia china ground countrys worries satellites chinese chinas pentagon program footprint satellite military space growing stations
224,Napoleon complex? The ‘little corporal’ was actually taller than average.,2,soldiers napoleon french corporal broers height bonaparte little average taller complex actually english gillray
225,North Korea says it launched a spy satellite: 5 things to know,2,koreas stages second reconnaissance korea north satellites spy launched rocket satellite know things stage
226,"Facing pressure in India, Netflix and Amazon back down on daring films",2,india pressure kashyap bjp hindu amazon daring films prime facing indian video streaming netflix political
227,Woman reunited with pet bird after paperwork glitch stranded it at airport,2,glitch airport force official charlie required stranded permits paperwork adlard reunited border pet woman bird thought
228,Each generation has its definitive movies. These are some of mine.,2,generational definitive gen films life women touchstones day age generation movies movie
